site,date,o3,no,no2,pm10,so2
debw004,2018-01-01,1720.5999999100002,0.4,63.09999992,72.79999986,24.8
debw004,2018-01-02,1435.3999998900001,3.5,181.39999995,119.99999991,40.69999996
debw004,2018-01-03,1551.59999991,1.8,98.99999993,111.99999988,47.69999996
debw004,2018-01-04,1257.1999999500001,4.8,267.39999994,78.59999995,33.79999996
debw004,2018-01-05,1359.09999991,14.69999999,320.29999991,98.59999989,32.79999994
debw004,2018-01-06,476.79999993,135.7999999,643.59999992,159.79999991,17.8
debw004,2018-01-07,676.3999999,34.09999996,298.79999996000004,258.89999995,21.79999999
debw004,2018-01-08,494.0999999,105.59999991,350.79999993,301.49999992,23.400000000000002
debw004,2018-01-09,214.29999994,704.39999991,634.89999991,449.89999991,41.39999996
debw004,2018-01-10,322.8999999,551.89999992,845.79999989,267.69999997,30.39999997
debw004,2018-01-11,131.19999989,832.79999988,874.29999988,295.19999992,32.89999997
debw004,2018-01-12,267.19999992,350.99999992,777.1999999,436.99999987,37.39999992
debw004,2018-01-13,666.59999994,111.2999999,468.2999999,429.39999993,34.99999994
debw004,2018-01-14,571.19999992,162.39999995,410.2999999,320.59999998,24.39999999
debw004,2018-01-15,468.19999987,529.99999996,570.69999995,299.89999996,29.89999996
debw004,2018-01-16,1336.49999992,4.9,206.79999995,50.29999993,92.89999997
debw004,2018-01-17,1464.8999999300001,6.7,210.79999992,106.79999991,96.39999987
debw004,2018-01-18,1374.09999991,2.8000000000000003,197.69999991,103.69999995,52.29999998
debw004,2018-01-19,1291.29999989,4.8,317.69999988,109.19999992,74.99999995
debw004,2018-01-20,1047.2999999200001,40.49999996,429.99999988,130.39999993,29.19999996
debw004,2018-01-21,835.89999995,106.69999999000001,465.99999990000003,142.89999993,29.29999999
debw004,2018-01-22,499.49999991,277.09999998,776.99999988,186.59999992000002,32.59999998
debw004,2018-01-23,1054.39999991,15.09999999,414.09999989,227.59999992000002,49.79999995
debw004,2018-01-24,883.79999991,198.79999996,474.49999996,138.39999992,50.79999998
debw004,2018-01-25,708.3999999,287.39999996,713.89999992,286.99999991,89.79999991
debw004,2018-01-26,775.69999991,104.09999996,665.7999999,194.49999991,26.59999997
debw004,2018-01-27,285.49999991,145.09999997,762.09999991,469.0999999,36.99999997
debw004,2018-01-28,929.79999989,3.8000000000000003,263.49999991,240.59999989,65.29999992
debw004,2018-01-29,864.49999992,9.99999998,289.19999992,78.59999988,90.29999991
debw004,2018-01-30,503.19999993,273.59999992,712.79999992,175.89999992,49.09999995
debw004,2018-01-31,1049.59999993,6.1,292.89999995,154.29999992,19.699999990000002
debw004,2018-02-01,1302.59999988,77.49999999,369.79999991,88.69999991,86.69999995
debw004,2018-02-02,925.5999999100001,15.3,364.99999992,192.39999991,62.69999998
debw004,2018-02-03,808.39999987,13.9,377.09999996,290.69999991000003,43.39999994
debw004,2018-02-04,544.79999993,45.099999940000004,468.59999989,330.89999994,25.69999998
debw004,2018-02-05,626.1999998900001,157.59999995,503.19999994,442.29999992,51.89999994
debw004,2018-02-06,430.59999992,293.89999997,733.79999989,631.49999989,35.29999993
debw004,2018-02-07,148.59999993,930.29999992,1052.79999987,938.69999993,57.79999993
debw004,2018-02-08,151.19999994,934.3999999,1132.19999993,1317.9999999000001,77.8999999
debw004,2018-02-09,138.39999995,642.89999992,1054.7999999,1073.0999998500001,40.19999994
debw004,2018-02-10,818.4999999400001,111.19999998,379.79999986,583.59999995,43.39999994
debw004,2018-02-11,1365.0999999,2.2,212.89999989,163.89999992,45.09999999
debw004,2018-02-12,1128.3999999100001,89.39999997000001,491.29999993,167.69999994,41.69999996
debw004,2018-02-13,605.19999993,302.59999991,791.9999999400001,264.09999995,26.89999999
debw004,2018-02-14,737.9999999300001,383.29999991,905.0999999200001,610.39999989,20.59999999
debw004,2018-02-15,406.69999988,597.8999999700001,1095.5999999,613.0999999000001,13.1
debw004,2018-02-16,615.69999993,405.19999995,904.79999992,308.5999999,33.29999998
debw004,2018-02-17,505.1999999,141.1999999,699.09999989,437.19999992,6.8
debw004,2018-02-18,626.59999996,160.4999999,674.1999998900001,622.19999995,9.2
debw004,2018-02-19,764.3999999,168.69999993,757.0999999000001,622.29999989,12.4
debw004,2018-02-20,775.99999987,179.79999992,764.29999992,750.49999987,46.69999993
debw004,2018-02-21,1007.79999988,303.79999995000003,798.79999989,1013.0999999100001,72.5999999
debw004,2018-02-22,1405.2999999,92.39999994,417.79999989,497.5999999,33.49999997
debw004,2018-02-23,1148.99999987,95.09999993,444.89999995,633.69999993,40.2999999
debw004,2018-02-24,1325.2999999200001,51.49999993,358.19999989,642.19999994,42.19999993
debw004,2018-02-25,1458.8999998900001,33.999999960000004,249.8999999,383.99999997000003,29.59999998
debw004,2018-02-26,1360.79999988,87.19999993,398.59999995,338.99999994,44.59999997
debw004,2018-02-27,980.59999993,164.8999999,660.79999993,572.59999993,39.19999994
debw004,2018-02-28,1147.79999989,146.19999989000002,551.99999988,882.6999998800001,49.99999994
debw004,2018-03-01,1402.99999991,90.79999995,438.49999991,918.19999991,58.69999992
debw004,2018-03-02,1402.69999991,73.29999995,671.0999999100001,1370.3999999,59.09999992
debw004,2018-03-03,628.39999993,190.09999993,797.49999986,1877.59999993,25.09999998
debw004,2018-03-04,579.99999991,219.99999992,782.09999988,946.8999999,16.5
debw004,2018-03-05,889.69999993,378.49999991,724.2999999,325.69999991000003,13.2
debw004,2018-03-06,713.19999994,314.09999996,660.89999991,963.79999991,38.39999999
debw004,2018-03-07,1150.49999991,65.79999997,421.99999991,257.49999991,57.29999998
debw004,2018-03-08,1548.89999998,21.99999998,258.59999992,125.0999999,73.29999996
debw004,2018-03-09,701.69999995,284.79999992,969.49999991,230.8999999,76.59999995
debw004,2018-03-10,450.79999996000004,502.99999990000003,730.1999999,245.19999994,13
debw004,2018-03-11,313.99999992,287.19999988,647.59999993,277.29999996,7.59999999
debw004,2018-03-12,1176.89999988,56.09999995,399.59999995,206.99999993,43.49999997
debw004,2018-03-13,1323.09999993,19.7,218.39999995,85.39999993,34.89999997
debw004,2018-03-14,1274.4999999,71.29999995,397.3999999,242.39999998,23.69999997
debw004,2018-03-15,606.29999992,247.8999999,762.99999987,439.89999995,15.7
debw004,2018-03-16,1060.3999999100001,147.59999996,639.5999999000001,204.99999989,20.59999999
debw004,2018-03-17,838.7999999,81.39999994,425.29999993,522.09999989,15.4
debw004,2018-03-18,1641.19999989,38.49999997,265.99999994,476.09999991,34.59999995
debw004,2018-03-19,1414.69999992,119.79999993,675.49999989,578.5999999000001,54.99999988
debw004,2018-03-20,894.5999999300001,266.9999999,971.49999991,540.79999993,56.599999940000004
debw004,2018-03-21,731.29999991,431.59999989,931.59999993,419.49999992,32.79999995
debw004,2018-03-22,932.69999992,152.39999991,704.79999992,449.49999994,29.89999998
