site,site_name,elevation,site_type,site_area,state
debb007,Elsterwerda,89,background,suburban,bb
debb021,Potsdam-Zentrum,31,background,urban,bb
debb029,Schwedt (Oder),5,industrial,suburban,bb
debb032,Eisenhüttenstadt,40,industrial,suburban,bb
debb044,"Cottbus,Bahnhofstr.",75,traffic,urban,bb
debb045,"Frankfurt (Oder),Leipziger Str.",56,traffic,urban,bb
debb048,Neuruppin,43,background,suburban,bb
debb049,"Brandenburg,Neuendorfer Str.",33,traffic,urban,bb
debb053,Hasenholz,88,background,rural_regional,bb
debb054,Potsdam Zeppelinstr.,31,traffic,urban,bb
debb055,Brandenburg a.d. Havel,33,background,suburban,bb
debb060,Eberswalde Breite Straße,20,traffic,urban,bb
debb063,Wittenberge,22,background,suburban,bb
debb064,Cottbus,75,background,urban,bb
debb065,Lütte (Belzig),111,background,rural_regional,bb
debb066,Spreewald,52,background,rural_regional,bb
debb067,Nauen,31,background,suburban,bb
debb068,"Bernau,Lohmühlenstr.",71,traffic,urban,bb
debb073,"Potsdam,Großbeerenstr.",32,traffic,urban,bb
debb075,"Potsdam,Groß Glienicke",39,background,suburban,bb
debb083,Spremberg,99,background,suburban,bb
debb086,Blankenfelde-Mahlow,43,background,suburban,bb
debb092,Frankfurt (Oder),74,background,suburban,bb
debb109,Luckenwalde,50,NA,NA,bb
debb110,Dallgow-Döberitz,39,NA,NA,bb
debe010,B Wedding-Amrumer Str.,35,background,urban,be
debe018,B Schöneberg-Belziger Straße,40,background,urban,be
debe027,B Marienfelde-Schichauweg,45,background,rural_nearcity,be
debe032,B Grunewald (3.5 m),50,background,rural_nearcity,be
debe034,B Neukölln-Nansenstraße,35,background,urban,be
debe051,B Buch,60,background,suburban,be
debe056,B Friedrichshagen,35,background,rural_nearcity,be
debe061,B Steglitz-Schildhornstr.,45,traffic,urban,be
debe062,"B Frohnau,Funkturm (3.5 m)",50,background,rural_nearcity,be
debe063,B Neukölln-Silbersteinstr.,40,traffic,urban,be
debe064,B Neukölln-Karl-Marx-Str. 76,40,traffic,urban,be
debe065,B Friedrichshain-Frankfurter Allee,40,traffic,urban,be
debe066,B Karlshorst-Rheingoldstr./Königswinterstr.,35,background,urban,be
debe067,B Hardenbergplatz,35,traffic,urban,be
debe068,"B Mitte,Brückenstraße",35,background,urban,be
debe069,"B Mariendorf,Mariendorfer Damm",50,traffic,urban,be
debw004,Eggenstein,109,background,rural_nearcity,bw
debw005,Mannheim-Nord,94,industrial,suburban,bw
debw009,Heidelberg,112,background,urban,bw
debw010,Wiesloch,162,background,suburban,bw
